Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
INTC        ,-100.00,56.61,SELL,INTEL CORP                     INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-06-01,2021-06-03,0.00,5660.97,0.00,0.03,458140100,Trade
ABNB        ,30.00,145.00,BUY,AIRBNB INC                     CLASS A COMMON STOCK           INTERNET ORDER                 UNSOLICITED                                                                                                                ,2021-06-01,2021-06-03,0.00,-4350.00,0.00,0.00,009066101,Trade
HD          ,-10.00,319.1237,SELL,HOME DEPOT INC                 INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-06-01,2021-06-03,0.00,3191.22,0.00,0.02,437076102,Trade
TSLA        ,-10.00,623.8435,SELL,TESLA INC                      COMMON STOCK                   INTERNET ORDER                 UNSOLICITED                                                                                                                ,2021-06-01,2021-06-03,0.00,6238.4,0.00,0.04,88160R101,Trade
PG          ,-40.00,135.46,SELL,PROCTER & GAMBLE CO            INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-06-01,2021-06-03,0.00,5418.37,0.00,0.03,742718109,Trade
SQ          ,-20.00,220.2144,SELL,SQUARE INC                     CLASS A COM                    INTERNET ORDER                 UNSOLICITED                                                                                                                ,2021-06-01,2021-06-03,0.00,4404.26,0.00,0.03,852234103,Trade
PATK        ,60.00,86.5861,BUY,PATRICK INDUSTRIES INC         INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-06-01,2021-06-03,0.00,-5195.17,0.00,0.00,703343103,Trade
TSLA        ,10.00,630.79,BUY,TESLA INC                      COMMON STOCK                   INTERNET ORDER                 UNSOLICITED                                                                                                                ,2021-06-01,2021-06-03,0.00,-6307.9,0.00,0.00,88160R101,Trade
INTC        ,0.00,,Dividend,INTEL CORP                     CASH DIV  ON     100 SHS       REC 05/07/21 PAY 06/01/21      NON-RES TAX WITHHELD                                                                                                       ,2021-06-01,2021-06-01,0.00,29.5375,0.00,0.00,458140100,Financial
THO         ,-40.00,123.9054,SELL,THOR INDUSTRIES INC            INTERNET ORDER                 UNSOLICITED                                                                                                                                               ,2021-06-01,2021-06-03,0.00,4956.19,0.00,0.03,885160101,Trade
