Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
AME         ,-15.00,143.28,SELL,AMETEK INC NEW                 UNSOLICITED                                                                                                                                                                              ,2021-12-16,2021-12-20,0.00,2149.18,0.00,0.02,031100100,Trade
BAC         ,45.00,45.0967,BUY,BANK OF AMERICA CORP           UNSOLICITED                                                                                                                                                                              ,2021-12-16,2021-12-20,0.00,-2029.35,0.00,0.00,060505104,Trade
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE     AT  0.010  11/16 THRU 12/15                                                                                                                                                              ,2021-12-16,2021-12-16,0.00,0.52,0.00,0.00,00099A109,Financial
PERI        ,100.00,22.65,BUY,***PERION NETWORK LTD          ORDINARY SHARES                UNSOLICITED                                                                                                                                               ,2021-12-16,2021-12-20,0.00,-2265.00,0.00,0.00,M78673114,Trade
PHM         ,50.00,54.85,BUY,PULTEGROUP INC                 UNSOLICITED                                                                                                                                                                              ,2021-12-16,2021-12-20,0.00,-2742.5,0.00,0.00,745867101,Trade
JPM         ,15.00,161.5587,BUY,JPMORGAN CHASE & CO            UNSOLICITED                                                                                                                                                                              ,2021-12-16,2021-12-20,0.00,-2423.38,0.00,0.00,46625H100,Trade
IXC         ,80.00,27.3379,BUY,ISHARES GLOBAL ENERGY ETF      UNSOLICITED                    PRODUCT DESCRIPTION UNDER      SEPARATE COVER                                                                                                             ,2021-12-16,2021-12-20,0.00,-2187.03,0.00,0.00,464287341,Trade
SBAC        ,0.00,,Dividend,SBA COMMUNICATIONS CORP NEW    CLASS A COMMON STOCK           CASH DIV  ON      15 SHS       REC 11/18/21 PAY 12/16/21      NON-QUALIFIED DIVIDEND         NON-RES TAX WITHHELD                                         ,2021-12-16,2021-12-16,0.00,7.395,0.00,0.00,78410G104,Financial
MODN        ,-100.00,28.95,SELL,MODEL N INC                    COM                            UNSOLICITED                                                                                                                                               ,2021-12-16,2021-12-20,0.00,2894.98,0.00,0.02,607525102,Trade
MX          ,-100.00,18.2034,SELL,MAGNACHIP SEMICONDUCTOR        CORPORATION COMMON STOCK       UNSOLICITED                    AVERAGE PRICE TRADE            DETAILS AVAILABLE UPON REQUEST                                                              ,2021-12-16,2021-12-20,0.00,1820.33,0.00,0.01,55933J203,Trade
RMD         ,10.00,256.1,BUY,RESMED INC                     UNSOLICITED                                                                                                                                                                              ,2021-12-16,2021-12-20,0.00,-2561.00,0.00,0.00,761152107,Trade
KHC         ,70.00,35.9999,BUY,KRAFT HEINZ COMPANY (THE)      COMMON STOCK                   UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,-2519.99,0.00,0.00,500754106,Trade
BCPC        ,-15.00,165.00,SELL,BALCHEM CORP                   UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,2474.98,0.00,0.02,057665200,Trade
            ,0.00,,Other,TFR to Type 2                                                                                                                                                                                                           ,2021-12-17,2021-12-17,0.00,-0.52,0.00,0.00,         ,Financial
VAW         ,10.00,190.15,BUY,VANGUARD SECTOR INDEX FDS      VANGUARD MATERIALS ETF         UNSOLICITED                    PRODUCT DESCRIPTION UNDER      SEPARATE COVER                                                                              ,2021-12-17,2021-12-21,0.00,-1901.5,0.00,0.00,92204A801,Trade
            ,0.00,,Other,TFR from Type 1                                                                                                                                                                                                         ,2021-12-17,2021-12-17,0.00,0.52,0.00,0.00,         ,Financial
RMD         ,-10.00,252.2,SELL,RESMED INC                     UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,2521.98,0.00,0.02,761152107,Trade
AWK         ,10.00,183.1,BUY,AMERICAN WTR WKS CO INC        UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,-1831.00,0.00,0.00,030420103,Trade
PHM         ,-50.00,53.17,SELL,PULTEGROUP INC                 UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,2658.48,0.00,0.02,745867101,Trade
IXC         ,-80.00,26.7,SELL,ISHARES GLOBAL ENERGY ETF      UNSOLICITED                    PRODUCT DESCRIPTION UNDER      SEPARATE COVER                                                                                                             ,2021-12-17,2021-12-21,0.00,2135.98,0.00,0.02,464287341,Trade
WST         ,5.00,449.5,BUY,WEST PHARMACEUTICAL SVCS INC   COM                            UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,-2247.5,0.00,0.00,955306105,Trade
VVV         ,60.00,35.91,BUY,VALVOLINE INC                  ADDITIONAL SHARES OF COMMON    STOCK                          UNSOLICITED                                                                                                                ,2021-12-17,2021-12-21,0.00,-2154.6,0.00,0.00,92047W101,Trade
SHW         ,-5.00,340.67,SELL,SHERWIN WILLIAMS CO            UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,1703.34,0.00,0.01,824348106,Trade
            ,0.00,,Other,MARK TO MARKET SHORT POS                                                                                                                                                                                                ,2021-12-17,2021-12-17,0.00,-91.29,0.00,0.00,         ,Financial
JPM         ,-15.00,156.7415,SELL,JPMORGAN CHASE & CO            UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,2351.1,0.00,0.02,46625H100,Trade
            ,0.00,,Other,MARK TO MARKET                                                                                                                                                                                                          ,2021-12-17,2021-12-17,0.00,91.29,0.00,0.00,         ,Financial
VHT         ,10.00,261.2,BUY,VANGUARD WORLD FUNDS           VANGUARD HEALTH CARE ETF       UNSOLICITED                    PRODUCT DESCRIPTION UNDER      SEPARATE COVER                                                                              ,2021-12-17,2021-12-21,0.00,-2612.00,0.00,0.00,92204A504,Trade
BAC         ,-45.00,43.9705,SELL,BANK OF AMERICA CORP           UNSOLICITED                                                                                                                                                                              ,2021-12-17,2021-12-21,0.00,1978.65,0.00,0.02,060505104,Trade
PERI        ,-100.00,20.8,SELL,***PERION NETWORK LTD          ORDINARY SHARES                UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,2079.98,0.00,0.02,M78673114,Trade
INBX        ,50.00,44.15,BUY,INHIBRX INC                    COMMON STOCK                   UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,-2207.5,0.00,0.00,45720L107,Trade
CP          ,-30.00,72.4,SELL,***CANADIAN PACIFIC RAILWAY    LTD                            UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,2171.98,0.00,0.02,13645T100,Trade
INVH        ,45.00,43.24,BUY,INVITATION HOMES INC           COMMON STOCK                   UNSOLICITED                                                                                                                                               ,2021-12-17,2021-12-21,0.00,-1945.8,0.00,0.00,46187W107,Trade
